,time,frame,n_pp_at_time,IDs_people,bb_people
135,0:00:05:800000,145,2,[1 2],"[79, 48, 248, 479],[179, 215, 354, 476]"
136,0:00:05:840000,146,2,[1 2],"[80, 50, 249, 478],[193, 218, 359, 476]"
137,0:00:05:880000,147,2,[1 2],"[76, 51, 251, 475],[206, 219, 365, 476]"
138,0:00:05:920000,148,2,[1 2],"[74, 51, 250, 477],[215, 217, 373, 476]"
139,0:00:05:960000,149,2,[1 2],"[67, 53, 252, 477],[217, 216, 382, 476]"
140,0:00:06,150,2,[1 2],"[62, 52, 254, 477],[232, 216, 387, 476]"
141,0:00:06:040000,151,2,[1 2],"[60, 51, 254, 474],[229, 216, 402, 476]"
142,0:00:06:080000,152,2,[1 2],"[47, 49, 258, 469],[235, 217, 416, 476]"
143,0:00:06:120000,153,2,[1 2],"[40, 49, 259, 470],[243, 218, 430, 477]"
144,0:00:06:160000,154,2,[1 2],"[40, 50, 258, 470],[257, 219, 429, 477]"
145,0:00:06:200000,155,2,[1 2],"[44, 51, 259, 471],[264, 224, 438, 475]"
146,0:00:06:240000,156,2,[1 2],"[58, 53, 260, 471],[270, 227, 459, 477]"
147,0:00:06:280000,157,2,[1 2],"[68, 53, 262, 471],[285, 228, 462, 479]"
148,0:00:06:320000,158,2,[1 2],"[61, 53, 271, 469],[308, 232, 479, 477]"
149,0:00:06:360000,159,2,[1 2],"[61, 53, 272, 473],[323, 234, 500, 475]"
150,0:00:06:400000,160,2,[1 2],"[81, 53, 269, 476],[349, 232, 528, 475]"
151,0:00:06:440000,161,2,[1 2],"[86, 52, 276, 478],[360, 233, 539, 474]"
152,0:00:06:480000,162,2,[1 2],"[90, 52, 281, 479],[372, 234, 567, 474]"
153,0:00:06:520000,163,2,[1 2],"[97, 52, 283, 479],[380, 233, 593, 475]"
154,0:00:06:560000,164,2,[1 2],"[99, 51, 287, 479],[399, 230, 616, 475]"
155,0:00:06:600000,165,2,[1 2],"[102, 51, 290, 479],[422, 227, 638, 475]"
156,0:00:06:640000,166,2,[1 2],"[104, 50, 293, 479],[420, 215, 695, 474]"
157,0:00:06:680000,167,2,[1 2],"[105, 51, 296, 479],[432, 206, 705, 474]"
158,0:00:06:720000,168,2,[1 2],"[106, 50, 301, 479],[455, 200, 708, 474]"
159,0:00:06:760000,169,2,[1 2],"[107, 49, 303, 478],[504, 206, 713, 475]"
160,0:00:06:800000,170,2,[1 2],"[107, 49, 304, 478],[506, 242, 746, 475]"
161,0:00:06:840000,171,2,[1 2],"[108, 47, 306, 477],[537, 256, 758, 475]"
162,0:00:06:880000,172,2,[1 2],"[110, 47, 307, 475],[552, 260, 775, 475]"
163,0:00:06:920000,173,1,[1],"[111, 43, 308, 474]"
164,0:00:06:960000,174,1,[1],"[111, 37, 309, 474]"
165,0:00:07,175,2,[1 2],"[111, 35, 312, 473],[639, 266, 844, 474]"
166,0:00:07:040000,176,2,[1 2],"[109, 34, 315, 472],[657, 269, 849, 474]"
167,0:00:07:080000,177,1,[1],"[108, 32, 315, 474]"
168,0:00:07:120000,178,1,[1],"[106, 30, 320, 474]"
169,0:00:07:160000,179,1,[1],"[104, 27, 323, 475]"
170,0:00:07:200000,180,1,[1],"[105, 24, 324, 477]"
171,0:00:07:240000,181,1,[1],"[103, 23, 329, 477]"
172,0:00:07:280000,182,1,[1],"[102, 22, 333, 477]"
173,0:00:07:320000,183,1,[1],"[104, 21, 339, 477]"
174,0:00:07:360000,184,1,[1],"[107, 22, 345, 476]"
175,0:00:07:400000,185,1,[1],"[111, 21, 346, 476]"
176,0:00:07:440000,186,1,[1],"[115, 21, 354, 474]"
177,0:00:07:480000,187,1,[1],"[122, 20, 359, 475]"
178,0:00:07:520000,188,1,[1],"[131, 20, 366, 476]"
179,0:00:07:560000,189,1,[1],"[134, 20, 369, 476]"
180,0:00:07:600000,190,1,[1],"[141, 20, 369, 476]"
181,0:00:07:640000,191,1,[1],"[144, 20, 377, 478]"
182,0:00:07:680000,192,1,[1],"[154, 19, 381, 479]"
183,0:00:07:720000,193,1,[1],"[162, 19, 390, 479]"
184,0:00:07:760000,194,1,[1],"[174, 19, 396, 479]"
185,0:00:07:800000,195,1,[1],"[184, 18, 404, 479]"
186,0:00:07:840000,196,1,[1],"[195, 15, 418, 476]"
187,0:00:07:880000,197,1,[1],"[205, 15, 426, 476]"
188,0:00:07:920000,198,1,[1],"[211, 12, 442, 475]"
189,0:00:07:960000,199,1,[1],"[216, 11, 456, 477]"
190,0:00:08,200,1,[1],"[224, 10, 472, 477]"
191,0:00:08:040000,201,1,[1],"[232, 8, 486, 478]"
192,0:00:08:080000,202,1,[1],"[238, 6, 503, 478]"
193,0:00:08:120000,203,1,[1],"[238, 6, 547, 478]"
194,0:00:08:160000,204,1,[1],"[248, 3, 564, 479]"
195,0:00:08:200000,205,1,[1],"[260, 7, 581, 478]"
196,0:00:08:240000,206,1,[1],"[268, 7, 593, 479]"
197,0:00:08:280000,207,1,[1],"[272, 6, 609, 479]"
198,0:00:08:320000,208,1,[1],"[274, 5, 616, 479]"
199,0:00:08:360000,209,1,[1],"[286, 2, 598, 479]"
200,0:00:08:400000,210,1,[1],"[302, 0, 585, 478]"
201,0:00:08:440000,211,1,[1],"[317, 3, 572, 475]"
202,0:00:08:480000,212,1,[1],"[320, 2, 587, 473]"
203,0:00:08:520000,213,1,[1],"[328, 0, 604, 471]"
204,0:00:08:560000,214,1,[1],"[337, 1, 611, 468]"
205,0:00:08:600000,215,1,[1],"[346, 4, 617, 468]"
206,0:00:08:640000,216,1,[1],"[354, 10, 640, 471]"
207,0:00:08:680000,217,1,[1],"[369, 8, 659, 471]"
208,0:00:08:720000,218,1,[1],"[381, 6, 673, 473]"
209,0:00:08:760000,219,1,[1],"[395, 2, 678, 476]"
210,0:00:08:800000,220,1,[1],"[414, 5, 697, 472]"
211,0:00:08:840000,221,1,[1],"[432, 4, 714, 477]"
212,0:00:08:880000,222,1,[1],"[463, 11, 718, 479]"
213,0:00:08:920000,223,1,[1],"[479, 16, 752, 479]"
214,0:00:08:960000,224,1,[1],"[499, 11, 792, 479]"
215,0:00:09,225,1,[1],"[522, 4, 833, 478]"
216,0:00:09:040000,226,1,[1],"[540, 3, 847, 479]"
217,0:00:09:080000,227,1,[1],"[549, 4, 849, 477]"
218,0:00:09:120000,228,1,[1],"[562, 1, 849, 475]"
219,0:00:09:160000,229,1,[1],"[578, 4, 849, 472]"
220,0:00:09:200000,230,1,[1],"[610, 2, 847, 474]"
221,0:00:09:240000,231,1,[1],"[623, 1, 849, 473]"
222,0:00:09:280000,232,1,[1],"[637, 9, 849, 469]"
223,0:00:09:320000,233,1,[1],"[654, 8, 849, 470]"
224,0:00:09:360000,234,1,[1],"[668, 4, 849, 469]"
225,0:00:09:400000,235,1,[1],"[678, 4, 849, 473]"
226,0:00:09:440000,236,1,[1],"[694, 8, 849, 471]"
227,0:00:09:480000,237,1,[1],"[701, 50, 849, 468]"
228,0:00:09:520000,238,1,[1],"[718, 73, 849, 470]"
229,0:00:09:560000,239,1,[1],"[736, 88, 849, 471]"
230,0:00:09:680000,242,0,,
231,0:00:12:840000,321,0,,
232,0:00:12:880000,322,0,,
233,0:00:13:160000,329,0,,
234,0:00:13:200000,330,0,,
235,0:00:13:240000,331,1,[5],"[444, 238, 793, 474]"
236,0:00:13:280000,332,1,[5],"[506, 226, 809, 474]"
237,0:00:13:320000,333,1,[5],"[505, 226, 762, 471]"
238,0:00:13:360000,334,1,[5],"[441, 233, 733, 474]"
239,0:00:13:400000,335,1,[5],"[426, 241, 710, 473]"
240,0:00:13:440000,336,1,[5],"[424, 245, 689, 473]"
241,0:00:13:480000,337,1,[5],"[420, 246, 676, 476]"
242,0:00:13:520000,338,1,[5],"[422, 247, 655, 479]"
243,0:00:13:560000,339,1,[5],"[421, 253, 642, 479]"
244,0:00:13:600000,340,1,[5],"[422, 251, 631, 478]"
245,0:00:13:640000,341,1,[5],"[421, 250, 625, 476]"
246,0:00:13:680000,342,1,[5],"[422, 247, 593, 471]"
247,0:00:13:720000,343,1,[5],"[408, 248, 590, 465]"
248,0:00:13:760000,344,1,[5],"[386, 248, 581, 471]"
249,0:00:13:800000,345,1,[5],"[380, 245, 566, 471]"
250,0:00:13:840000,346,1,[5],"[370, 245, 554, 471]"
251,0:00:13:920000,348,1,[5],"[373, 238, 533, 473]"
252,0:00:13:960000,349,1,[5],"[364, 236, 524, 474]"
253,0:00:14,350,1,[5],"[358, 237, 512, 474]"
254,0:00:14:040000,351,1,[5],"[353, 238, 504, 474]"
255,0:00:14:080000,352,2,[5 6],"[348, 238, 500, 474],[462, 3, 838, 478]"
256,0:00:14:120000,353,2,[5 6],"[340, 238, 489, 474],[473, 0, 849, 477]"
257,0:00:14:160000,354,1,[6],"[477, 2, 844, 477]"
258,0:00:14:200000,355,1,[6],"[486, 0, 838, 477]"
259,0:00:14:240000,356,2,[5 6],"[324, 231, 470, 477],[480, 0, 844, 478]"
260,0:00:14:280000,357,2,[5 6],"[320, 226, 464, 478],[426, 1, 848, 479]"
261,0:00:14:320000,358,2,[5 6],"[312, 223, 458, 478],[467, 0, 837, 477]"
