,time,frame,n_pp_at_time,n_attentive_pp_at_time,IDs_people,IDs_attention,bb_people,bb_attention,total_pp_appear_uptotime,total_attentive_pp_appear_uptotime
111,0:00:04.840000,121,2,2,"[1, 2]","[1, 2]","[array([ 43,  52, 262, 383]), array([ 93, 210, 283, 468])]","[array([150,  84,  63,  62]), array([152, 242,  62,  62])]",2,2
112,0:00:04.880000,122,2,2,"[1, 2]","[1, 2]","[array([ 45,  52, 262, 382]), array([ 92, 210, 282, 468])]","[array([152,  84,  63,  62]), array([151, 242,  62,  62])]",2,2
113,0:00:04.920000,123,2,2,"[1, 2]","[1, 2]","[array([ 45,  52, 264, 378]), array([101, 209, 283, 469])]","[array([152,  84,  63,  62]), array([153, 241,  62,  62])]",2,2
114,0:00:04.960000,124,2,2,"[1, 2]","[1, 2]","[array([ 47,  52, 263, 375]), array([104, 209, 285, 469])]","[array([154,  84,  63,  62]), array([149, 241,  62,  62])]",2,2
115,0:00:05,125,2,2,"[1, 2]","[1, 2]","[array([ 48,  51, 262, 375]), array([105, 208, 286, 469])]","[array([148,  83,  63,  62]), array([157, 240,  62,  62])]",2,2
116,0:00:05.040000,126,2,2,"[1, 2]","[1, 2]","[array([ 49,  51, 262, 383]), array([105, 207, 289, 469])]","[array([149,  83,  63,  62]), array([157, 239,  62,  62])]",2,2
117,0:00:05.080000,127,2,2,"[1, 2]","[1, 2]","[array([ 48,  51, 262, 380]), array([102, 207, 290, 469])]","[array([148,  83,  63,  62]), array([161, 246,  62,  62])]",2,2
118,0:00:05.120000,128,2,2,"[1, 2]","[1, 2]","[array([ 51,  51, 258, 383]), array([ 99, 208, 295, 469])]","[array([151,  83,  63,  62]), array([165, 247,  62,  62])]",2,2
119,0:00:05.160000,129,2,2,"[1, 2]","[1, 2]","[array([ 53,  51, 255, 400]), array([ 99, 209, 295, 469])]","[array([146,  83,  63,  62]), array([182, 247,  52,  52])]",2,2
120,0:00:05.200000,130,2,2,"[1, 2]","[1, 2]","[array([ 54,  51, 254, 411]), array([108, 208, 295, 473])]","[array([147,  83,  63,  62]), array([179, 238,  75,  75])]",2,2
121,0:00:05.240000,131,2,1,"[1, 2]",[1],"[array([ 55,  49, 250, 444]), array([115, 208, 289, 472])]","[array([148,  81,  63,  62])]",2,2
122,0:00:05.280000,132,2,2,"[1, 2]","[1, 2]","[array([ 57,  48, 247, 463]), array([122, 208, 294, 474])]","[array([150,  80,  63,  62]), array([202, 247,  62,  62])]",2,2
123,0:00:05.320000,133,2,1,"[1, 2]",[1],"[array([ 62,  48, 245, 473]), array([126, 208, 301, 476])]","[array([149,  80,  62,  62])]",2,2
124,0:00:05.360000,134,2,1,"[1, 2]",[1],"[array([ 64,  48, 242, 477]), array([142, 207, 304, 476])]","[array([151,  80,  62,  62])]",2,2
125,0:00:05.400000,135,2,1,"[1, 2]",[1],"[array([ 65,  48, 239, 479]), array([154, 207, 313, 476])]","[array([152,  80,  62,  62])]",2,2
126,0:00:05.440000,136,2,1,"[1, 2]",[1],"[array([ 66,  48, 239, 479]), array([153, 207, 321, 476])]","[array([153,  80,  62,  62])]",2,2
127,0:00:05.480000,137,2,1,"[1, 2]",[1],"[array([ 66,  49, 239, 477]), array([160, 207, 316, 476])]","[array([153,  81,  62,  62])]",2,2
